timestamp,dataset,channel,window,sensor_height_m,reference_height_m,wind_profile_alpha,wind_mean_roof_m_s,wind_median_roof_m_s,wind_max_raw_roof_m_s,wind_std_roof_m_s,wind_3s_gust_roof_m_s,wind_mean_10m_m_s,wind_median_10m_m_s,wind_max_raw_10m_m_s,wind_std_10m_m_s,wind_3s_gust_10m_m_s,wind_mean_roof_mph,wind_3s_gust_roof_mph,wind_max_raw_roof_mph,wind_mean_10m_mph,wind_3s_gust_10m_mph,wind_max_raw_10m_mph,n_samples
2023-03-04 13:00:00,01.03.2023,08N4S,30min,118.0,10.0,0.14,1.7644770421115,1.7824735,5.592958,1.095539231333145,4.54170172,1.248971507526205,1.2617101618711968,3.958932317096891,0.7754690215038758,3.2148086422108895,3.9470227319960136,10.159497405153889,12.511090730135992,2.7938696929272626,7.191322123771667,8.855879377901053,180000
2023-03-04 13:30:00,01.03.2023,08N4S,30min,118.0,10.0,0.14,1.1067322299554438,0.8079,4.493804,0.8557758026465785,3.8698064433333337,0.7833918995178069,0.5718658032087096,3.1809046093854585,0.6057543220040398,2.739212736698919,2.475689490773628,8.656510476318292,10.052353256979229,1.7523977709328158,6.127444382379465,7.115480962297457,169225
2025-12-27 00:00:00,27.12.2025,31S4S,30min,118.0,10.0,0.14,2.407892539785123,2.384203,6.311963,1.137516816634545,5.283156119999999,1.7044082204536195,1.6876397618611398,4.4678744780525514,0.8051825325017063,3.7396414383473315,5.386302209612385,11.818083661417308,14.119459108804566,3.812652604808558,8.365339652709663,9.994350568299362,135780
2025-12-27 00:30:00,27.12.2025,31S4S,30min,118.0,10.0,0.14,2.4909745258233276,2.548624,5.575175,0.9725871864093303,4.395793666666667,1.7632171654689834,1.8040239025089666,3.946344757277036,0.6884383618597235,3.111528748518495,5.572151319397201,9.83311038534955,12.471311292054388,3.944204468210857,6.96029158133163,8.827721808511614,180000
2025-12-27 01:00:00,27.12.2025,31S4S,30min,118.0,10.0,0.14,2.746897408777128,2.7693135,5.49086,0.9297647725558316,5.373016436666667,1.9443702104248735,1.9602372682438702,3.8866630328092278,0.6581268454670179,3.803248372580743,6.144634504243747,12.019095464984478,12.282704008589821,4.34943228888885,8.507624312322697,8.694217593077182,180000
2025-12-27 01:30:00,27.12.2025,31S4S,30min,118.0,10.0,0.14,2.042180691094772,1.961534,4.678529,0.9244951680419126,4.441113636666667,1.4455419002478396,1.3884567600336588,3.3116607803196447,0.6543967964288393,3.1436081408262613,4.568228102842632,9.934488270997365,10.46557131352898,3.233585138349673,7.032051138211923,7.407974186470207,180000
2025-12-27 02:00:00,27.12.2025,31S4S,30min,118.0,10.0,0.14,1.0836494378235388,1.075976,2.848835,0.514360134228624,2.45072503,0.7670529225864893,0.7616213386227189,2.016525950592999,0.364085866195311,1.7347268693212514,2.424054755331822,5.482115761453108,6.372662401574796,1.715848520460112,3.8804734907866174,4.510840082750978,180000
2025-12-27 02:30:00,27.12.2025,31S4S,30min,118.0,10.0,0.14,1.4614256271126553,1.479314,3.784793,0.6750951544565462,3.5171552799999994,1.0344588935246575,1.0471210407326266,2.67903662448781,0.47786091440227835,2.4895913222019477,3.269116023426659,7.867652290622753,8.466340819613448,2.3140186415637443,5.569057181017236,5.992834253059697,180000
2025-12-27 03:00:00,27.12.2025,31S4S,30min,118.0,10.0,0.14,1.2840698025542945,1.2643635,3.129094,0.5705956654902039,2.8366298833333334,0.9089189367666305,0.8949699820216305,2.2149051288842108,0.4038917546143875,2.007886652603348,2.872382342864829,6.345360333154372,6.99958392984967,2.033193756188774,4.4915145235400535,4.954601666258519,180000
2025-12-27 03:30:00,27.12.2025,31S4S,30min,118.0,10.0,0.14,0.8325348929073945,0.803802,2.510722,0.4703731416019024,2.2899408566666666,0.5893034227401462,0.5689650654174616,1.7771952632303227,0.332950011672207,1.6209170284665475,1.8623275163461739,5.122451808935809,5.6163251610594065,1.3182342133593092,3.6258881273857946,3.975472582387081,180000
